规则编号,根告警代码,衍生告警代码,根层次,衍生层次,是否启用,备注1,备注2
165,1724,1516,OTUk,ODUk,1,同向,专家
166,1724,1519,OTUk,ODUk,1,同向,专家
167,1724,1725,OTUk,ODUk,1,同向,专家
168,1724,2074,OTUk,ODUk,1,同向,专家
169,1724,80,OTUk,ODUk,1,同向,专家
170,1725,80,ODUk,ODUk,1,同向,专家
171,1726,80,ODUk,ODUk,1,同向,专家
172,1727,80,ODUk,ODUk,1,同向,专家
173,1729,60088,OTS,OTUk,1,同向,专家
174,1729,1639,OTS,OTUk,1,同向,专家
175,1729,60031,OTS,OTUk,1,同向,专家
176,1729,1743,OTS,OTS,1,同向,专家
177,1729,1744,OTS,OTS,1,同向,专家
178,1730,1729,OTS,OTS,1,同向,专家
179,1731,1729,OTS,OTS,1,同向,专家
180,1756,1522,ODUk,ODUk,1,异向,专家
181,1756,80,ODUk,ODUk,1,同向,专家
182,1757,1522,ODUk,ODUk,1,异向,专家
183,1757,80,ODUk,ODUk,1,同向,专家
184,1921,1522,OTN_CLIENT,ODUk,1,异向,专家
185,1921,1527,OTN_CLIENT,ODUk,1,异向,专家
186,1921,1533,OTN_CLIENT,ODUk,1,异向,专家
187,1921,1539,OTN_CLIENT,ODUk,1,异向,专家
188,1921,1545,OTN_CLIENT,ODUk,1,异向,专家
189,1921,1551,OTN_CLIENT,ODUk,1,异向,专家
190,1921,1557,OTN_CLIENT,ODUk,1,异向,专家
191,1921,1512,OTN_CLIENT,OTUk,1,异向,专家
192,1921,60080,OTN_CLIENT,ODUk,1,同向,专家
193,1921,2034,OTN_CLIENT,ODUk,1,同向,专家
194,1921,1516,OTN_CLIENT,ODUk,1,同向,专家
195,1921,1519,OTN_CLIENT,ODUk,1,同向,专家
196,1921,1725,OTN_CLIENT,ODUk,1,同向,专家
197,1921,2074,OTN_CLIENT,ODUk,1,同向,专家
198,1921,80,OTN_CLIENT,ODUk,1,同向,专家
199,2034,80,ODUk,ODUk,1,同向,专家
200,2035,80,ODUk,ODUk,1,同向,专家
201,2036,80,ODUk,ODUk,1,同向,专家
202,2073,1522,OTUk,ODUk,1,异向,专家
203,2073,1527,OTUk,ODUk,1,异向,专家
204,2073,1533,OTUk,ODUk,1,异向,专家
205,2073,1539,OTUk,ODUk,1,异向,专家
206,2073,1545,OTUk,ODUk,1,异向,专家
207,2073,1551,OTUk,ODUk,1,异向,专家
208,2073,1557,OTUk,ODUk,1,异向,专家
209,2073,1512,OTUk,OTUk,1,异向,专家
210,2073,2034,OTUk,ODUk,1,同向,专家
211,2073,1516,OTUk,ODUk,1,同向,专家
212,2073,1519,OTUk,ODUk,1,同向,专家
213,2073,1725,OTUk,ODUk,1,同向,专家
214,2073,2074,OTUk,ODUk,1,同向,专家
215,2073,80,OTUk,ODUk,1,同向,专家
216,2074,80,ODUk,ODUk,1,同向,专家
217,2075,80,ODUk,ODUk,1,同向,专家
218,2076,80,ODUk,ODUk,1,同向,专家
219,2115,2116,OTN_CLIENT,OTN_CLIENT,1,异向,专家
220,2690,1522,ODUk,ODUk,1,异向,专家
221,2690,80,ODUk,ODUk,1,同向,专家
222,60030,1522,OTUk,ODUk,1,异向,专家
223,60030,1527,OTUk,ODUk,1,异向,专家
224,60030,1533,OTUk,ODUk,1,异向,专家
225,60030,1539,OTUk,ODUk,1,异向,专家
226,60030,1545,OTUk,ODUk,1,异向,专家
227,60030,1551,OTUk,ODUk,1,异向,专家
228,60030,1557,OTUk,ODUk,1,异向,专家
229,60030,1512,OTUk,OTUk,1,异向,专家
230,60030,2034,OTUk,ODUk,1,同向,专家
231,60030,1516,OTUk,ODUk,1,同向,专家
232,60030,1519,OTUk,ODUk,1,同向,专家
233,60030,1725,OTUk,ODUk,1,同向,专家
234,60030,2074,OTUk,ODUk,1,同向,专家
235,60031,1522,OTUk,ODUk,1,异向,专家
236,60031,1527,OTUk,ODUk,1,异向,专家
237,60031,1533,OTUk,ODUk,1,异向,专家
238,60031,1539,OTUk,ODUk,1,异向,专家
239,60031,1545,OTUk,ODUk,1,异向,专家
240,60031,1551,OTUk,ODUk,1,异向,专家
241,60031,1557,OTUk,ODUk,1,异向,专家
242,60031,1512,OTUk,OTUk,1,异向,专家
243,60031,2034,OTUk,ODUk,1,同向,专家
244,60031,1516,OTUk,ODUk,1,同向,专家
245,60031,1519,OTUk,ODUk,1,同向,专家
246,60031,1725,OTUk,ODUk,1,同向,专家
247,60031,2074,OTUk,ODUk,1,同向,专家
248,60031,80,OTUk,ODUk,1,同向,专家
249,60034,1522,ODUk,ODUk,1,异向,专家
250,60034,80,ODUk,ODUk,1,同向,专家
251,60035,1522,ODUk,ODUk,1,异向,专家
252,60035,80,ODUk,ODUk,1,同向,专家
253,60038,1522,ODUk,ODUk,1,异向,专家
254,60038,80,ODUk,ODUk,1,同向,专家
255,60042,1522,ODUk,ODUk,1,异向,专家
256,60042,80,ODUk,ODUk,1,同向,专家
257,60043,1522,ODUk,ODUk,1,异向,专家
258,60043,80,ODUk,ODUk,1,同向,专家
259,60076,1522,OTUk,ODUk,1,异向,专家
260,60076,1527,OTUk,ODUk,1,异向,专家
261,60076,1533,OTUk,ODUk,1,异向,专家
262,60076,1539,OTUk,ODUk,1,异向,专家
263,60076,1545,OTUk,ODUk,1,异向,专家
264,60076,1551,OTUk,ODUk,1,异向,专家
265,60076,1557,OTUk,ODUk,1,异向,专家
266,60076,1512,OTUk,OTUk,1,异向,专家
267,60076,2034,OTUk,ODUk,1,同向,专家
268,60076,1516,OTUk,ODUk,1,同向,专家
269,60076,1519,OTUk,ODUk,1,同向,专家
270,60076,1725,OTUk,ODUk,1,同向,专家
271,60076,2074,OTUk,ODUk,1,同向,专家
272,60076,80,OTUk,ODUk,1,同向,专家
273,60077,1522,OTUk,ODUk,1,异向,专家
274,60077,1527,OTUk,ODUk,1,异向,专家
275,60077,1533,OTUk,ODUk,1,异向,专家
276,60077,1539,OTUk,ODUk,1,异向,专家
277,60077,1545,OTUk,ODUk,1,异向,专家
278,60077,1551,OTUk,ODUk,1,异向,专家
279,60077,1557,OTUk,ODUk,1,异向,专家
280,60077,1512,OTUk,OTUk,1,异向,专家
281,60077,2034,OTUk,ODUk,1,同向,专家
282,60077,1516,OTUk,ODUk,1,同向,专家
283,60077,1519,OTUk,ODUk,1,同向,专家
284,60077,1725,OTUk,ODUk,1,同向,专家
285,60077,2074,OTUk,ODUk,1,同向,专家
286,60077,80,OTUk,ODUk,1,同向,专家
287,60078,1522,ODUk,ODUk,1,异向,专家
288,60078,80,ODUk,ODUk,1,同向,专家
289,60079,1522,ODUk,ODUk,1,异向,专家
290,60079,80,ODUk,ODUk,1,同向,专家
291,60080,80,ODUk,ODUk,1,同向,专家
292,60081,80,ODUk,ODUk,1,同向,专家
293,60082,80,ODUk,ODUk,1,同向,专家
294,60088,1522,OTUk,ODUk,1,异向,专家
295,60088,1527,OTUk,ODUk,1,异向,专家
296,60088,1533,OTUk,ODUk,1,异向,专家
297,60088,1539,OTUk,ODUk,1,异向,专家
298,60088,1545,OTUk,ODUk,1,异向,专家
299,60088,1551,OTUk,ODUk,1,异向,专家
300,60088,1557,OTUk,ODUk,1,异向,专家
301,60088,1512,OTUk,OTUk,1,异向,专家
302,60088,2034,OTUk,ODUk,1,同向,专家
303,60088,1516,OTUk,ODUk,1,同向,专家
304,60088,1519,OTUk,ODUk,1,同向,专家
305,60088,1725,OTUk,ODUk,1,同向,专家
306,60088,2074,OTUk,ODUk,1,同向,专家
307,60088,80,OTUk,ODUk,1,同向,专家
308,1641,1641,ODUk,ODUk,1,同向,专家
309,1642,1642,ODUk,ODUk,1,同向,专家
310,1643,1643,ODUk,ODUk,1,同向,专家
311,1644,1644,ODUk,ODUk,1,同向,专家
312,1645,1645,ODUk,ODUk,1,同向,专家
313,1646,1646,ODUk,ODUk,1,同向,专家
314,1647,1647,ODUk,ODUk,1,同向,专家
315,1648,1648,ODUk,ODUk,1,同向,专家
316,1649,1649,ODUk,ODUk,1,同向,专家
317,1650,1650,ODUk,ODUk,1,同向,专家
318,1651,1651,ODUk,ODUk,1,同向,专家
319,1652,1652,ODUk,ODUk,1,同向,专家
320,1653,1653,ODUk,ODUk,1,同向,专家
321,1654,1654,ODUk,ODUk,1,同向,专家
322,1655,1655,ODUk,ODUk,1,同向,专家
323,1656,1656,ODUk,ODUk,1,同向,专家
324,1657,1657,ODUk,ODUk,1,同向,专家
325,1658,1658,ODUk,ODUk,1,同向,专家
326,1531,1531,ODUk,ODUk,1,同向,专家
327,1537,1537,ODUk,ODUk,1,同向,专家
328,1543,1543,ODUk,ODUk,1,同向,专家
329,1549,1549,ODUk,ODUk,1,同向,专家
330,1555,1555,ODUk,ODUk,1,同向,专家
331,1561,1561,ODUk,ODUk,1,同向,专家
332,1661,1661,ODUk,ODUk,1,同向,专家
333,1662,1662,ODUk,ODUk,1,同向,专家
334,1663,1663,ODUk,ODUk,1,同向,专家
335,1664,1664,ODUk,ODUk,1,同向,专家
336,1665,1665,ODUk,ODUk,1,同向,专家
337,1666,1666,ODUk,ODUk,1,同向,专家
338,60080,60080,ODUk,ODUk,1,同向,专家
339,60081,60081,ODUk,ODUk,1,同向,专家
340,60082,60082,ODUk,ODUk,1,同向,专家
341,2034,2034,ODUk,ODUk,1,同向,专家
342,1516,1516,ODUk,ODUk,1,同向,专家
343,1519,1519,ODUk,ODUk,1,同向,专家
344,1725,1725,ODUk,ODUk,1,同向,专家
345,2074,2074,ODUk,ODUk,1,同向,专家
346,2036,2036,ODUk,ODUk,1,同向,专家
347,1518,1518,ODUk,ODUk,1,同向,专家
348,1521,1521,ODUk,ODUk,1,同向,专家
349,1727,1727,ODUk,ODUk,1,同向,专家
350,2076,2076,ODUk,ODUk,1,同向,专家
351,2035,2035,ODUk,ODUk,1,同向,专家
352,1517,1517,ODUk,ODUk,1,同向,专家
353,1520,1520,ODUk,ODUk,1,同向,专家
354,1726,1726,ODUk,ODUk,1,同向,专家
355,2075,2075,ODUk,ODUk,1,同向,专家
356,1756,1756,ODUk,ODUk,1,同向,专家
357,1715,1715,ODUk,ODUk,1,同向,专家
358,1757,1757,ODUk,ODUk,1,同向,专家
359,133,133,OTN_CLIENT,OTN_CLIENT,1,同向,专家
360,1660,1660,ODUk,ODUk,1,同向,专家
361,1721,1721,OTN_CLIENT,OTN_CLIENT,1,同向,专家
362,60088,60080,OTUk,ODUk,1,同向,专家
363,1639,60080,OTUk,ODUk,1,同向,专家
364,60031,60080,OTUk,ODUk,1,同向,专家
365,60076,60080,OTUk,ODUk,1,同向,专家
366,1510,60080,OTUk,ODUk,1,同向,专家
367,1511,60080,OTUk,ODUk,1,同向,专家
368,1724,60080,OTUk,ODUk,1,同向,专家
369,2073,60080,OTUk,ODUk,1,同向,专家
370,60077,60080,OTUk,ODUk,1,同向,专家
371,1640,60080,OTUk,ODUk,1,同向,专家
372,60030,60080,OTUk,ODUk,1,同向,专家
373,145,1443,BOARD,BOARD,1,盘对盘,专家
374,2112,1443,BOARD,BOARD,1,盘对盘,专家
375,1259,1443,BOARD,BOARD,1,盘对盘,专家
376,3375,1443,BOARD,BOARD,1,盘对盘,专家
377,1819,1443,BOARD,BOARD,1,盘对盘,专家
378,1819,80,BOARD,ODUk,1,盘对端口,专家
379,89,1787,OTN_CLIENT,OTN_CLIENT,1,特例,专家
380,89,60085,OTN_CLIENT,OTN_CLIENT,1,特例,专家
381,89,2114,OTN_CLIENT,OTN_CLIENT,1,特例,专家
382,89,2079,OTN_CLIENT,OTN_CLIENT,1,特例,专家
383,171,1339,OTN_CLIENT,OTN_CLIENT,1,特例,专家
384,171,60085,OTN_CLIENT,OTN_CLIENT,1,特例,专家
385,171,2114,OTN_CLIENT,OTN_CLIENT,1,特例,专家
386,171,2079,OTN_CLIENT,OTN_CLIENT,1,特例,专家
387,171,1787,OTN_CLIENT,OTN_CLIENT,1,特例,专家
388,525,1716,OTUk,OTN_CLIENT,1,特例,专家
389,1032,1339,OTN_CLIENT,OTN_CLIENT,1,特例,专家
390,1032,60085,OTN_CLIENT,OTN_CLIENT,1,特例,专家
391,1032,2114,OTN_CLIENT,OTN_CLIENT,1,特例,专家
392,1032,2079,OTN_CLIENT,OTN_CLIENT,1,特例,专家
393,1032,1787,OTN_CLIENT,OTN_CLIENT,1,特例,专家
394,1516,2115,ODUk,OTN_CLIENT,1,特例,专家
395,1516,1716,ODUk,OTN_CLIENT,1,特例,专家
396,1517,2115,ODUk,OTN_CLIENT,1,特例,专家
397,1517,1716,ODUk,OTN_CLIENT,1,特例,专家
398,1518,2115,ODUk,OTN_CLIENT,1,特例,专家
399,1518,1716,ODUk,OTN_CLIENT,1,特例,专家
400,1519,2115,ODUk,OTN_CLIENT,1,特例,专家
401,1519,1716,ODUk,OTN_CLIENT,1,特例,专家
402,1520,2115,ODUk,OTN_CLIENT,1,特例,专家
403,1520,1716,ODUk,OTN_CLIENT,1,特例,专家
404,1521,2115,ODUk,OTN_CLIENT,1,特例,专家
405,1521,1716,ODUk,OTN_CLIENT,1,特例,专家
406,1522,1717,ODUk,OTN_CLIENT,1,特例,专家
407,1524,1717,ODUk,OTN_CLIENT,1,特例,专家
408,1531,2115,ODUk,OTN_CLIENT,1,特例,专家
409,1531,1716,ODUk,OTN_CLIENT,1,特例,专家
410,1537,2115,ODUk,OTN_CLIENT,1,特例,专家
411,1537,1716,ODUk,OTN_CLIENT,1,特例,专家
412,1543,2115,ODUk,OTN_CLIENT,1,特例,专家
413,1543,1716,ODUk,OTN_CLIENT,1,特例,专家
414,1549,2115,ODUk,OTN_CLIENT,1,特例,专家
415,1549,1716,ODUk,OTN_CLIENT,1,特例,专家
416,1555,2115,ODUk,OTN_CLIENT,1,特例,专家
417,1555,1716,ODUk,OTN_CLIENT,1,特例,专家
418,1561,2115,ODUk,OTN_CLIENT,1,特例,专家
419,1561,1716,ODUk,OTN_CLIENT,1,特例,专家
420,1637,1339,OTN_CLIENT,OTN_CLIENT,1,特例,专家
421,1637,60085,OTN_CLIENT,OTN_CLIENT,1,特例,专家
422,1637,2114,OTN_CLIENT,OTN_CLIENT,1,特例,专家
423,1637,2079,OTN_CLIENT,OTN_CLIENT,1,特例,专家
424,1637,1787,OTN_CLIENT,OTN_CLIENT,1,特例,专家
425,1637,2115,OTN_CLIENT,OTN_CLIENT,1,特例,专家
426,1639,2115,ODUk,OTN_CLIENT,1,特例,专家
427,1639,1716,ODUk,OTN_CLIENT,1,特例,专家
428,1640,2115,ODUk,OTN_CLIENT,1,特例,专家
429,1640,1716,OTUk,OTN_CLIENT,1,特例,专家
430,1641,2115,ODUk,OTN_CLIENT,1,特例,专家
431,1641,1716,ODUk,OTN_CLIENT,1,特例,专家
432,1642,2115,ODUk,OTN_CLIENT,1,特例,专家
433,1642,1716,ODUk,OTN_CLIENT,1,特例,专家
434,1643,2115,ODUk,OTN_CLIENT,1,特例,专家
435,1643,1716,ODUk,OTN_CLIENT,1,特例,专家
436,1644,2115,ODUk,OTN_CLIENT,1,特例,专家
437,1644,1716,ODUk,OTN_CLIENT,1,特例,专家
438,1645,2115,ODUk,OTN_CLIENT,1,特例,专家
439,1645,1716,ODUk,OTN_CLIENT,1,特例,专家
440,1646,2115,ODUk,OTN_CLIENT,1,特例,专家
441,1646,1716,ODUk,OTN_CLIENT,1,特例,专家
442,1647,2115,ODUk,OTN_CLIENT,1,特例,专家
443,1647,1716,ODUk,OTN_CLIENT,1,特例,专家
444,1648,2115,ODUk,OTN_CLIENT,1,特例,专家
445,1648,1716,ODUk,OTN_CLIENT,1,特例,专家
446,1649,2115,ODUk,OTN_CLIENT,1,特例,专家
447,1649,1716,ODUk,OTN_CLIENT,1,特例,专家
448,1650,2115,ODUk,OTN_CLIENT,1,特例,专家
449,1650,1716,ODUk,OTN_CLIENT,1,特例,专家
450,1651,2115,ODUk,OTN_CLIENT,1,特例,专家
451,1651,1716,ODUk,OTN_CLIENT,1,特例,专家
452,1652,2115,ODUk,OTN_CLIENT,1,特例,专家
453,1652,1716,ODUk,OTN_CLIENT,1,特例,专家
454,1653,2115,ODUk,OTN_CLIENT,1,特例,专家
455,1653,1716,ODUk,OTN_CLIENT,1,特例,专家
456,1654,2115,ODUk,OTN_CLIENT,1,特例,专家
457,1654,1716,ODUk,OTN_CLIENT,1,特例,专家
458,1655,2115,ODUk,OTN_CLIENT,1,特例,专家
459,1655,1716,ODUk,OTN_CLIENT,1,特例,专家
460,1656,2115,ODUk,OTN_CLIENT,1,特例,专家
461,1656,1716,ODUk,OTN_CLIENT,1,特例,专家
462,1657,2115,ODUk,OTN_CLIENT,1,特例,专家
463,1657,1716,ODUk,OTN_CLIENT,1,特例,专家
464,1658,2115,ODUk,OTN_CLIENT,1,特例,专家
465,1658,1716,ODUk,OTN_CLIENT,1,特例,专家
466,1659,1716,OTUk,OTN_CLIENT,1,特例,专家
467,1660,2115,ODUk,OTN_CLIENT,1,特例,专家
468,1660,1716,ODUk,OTN_CLIENT,1,特例,专家
469,1661,2115,ODUk,OTN_CLIENT,1,特例,专家
470,1661,1716,ODUk,OTN_CLIENT,1,特例,专家
471,1662,2115,ODUk,OTN_CLIENT,1,特例,专家
472,1662,1716,ODUk,OTN_CLIENT,1,特例,专家
473,1663,2115,ODUk,OTN_CLIENT,1,特例,专家
474,1663,1716,ODUk,OTN_CLIENT,1,特例,专家
475,1664,2115,ODUk,OTN_CLIENT,1,特例,专家
476,1664,1716,ODUk,OTN_CLIENT,1,特例,专家
477,1665,2115,ODUk,OTN_CLIENT,1,特例,专家
478,1665,1716,ODUk,OTN_CLIENT,1,特例,专家
479,1666,2115,ODUk,OTN_CLIENT,1,特例,专家
480,1666,1716,ODUk,OTN_CLIENT,1,特例,专家
481,1715,2115,ODUk,OTN_CLIENT,1,特例,专家
482,1715,1716,ODUk,OTN_CLIENT,1,特例,专家
483,1725,2115,ODUk,OTN_CLIENT,1,特例,专家
484,1725,1716,ODUk,OTN_CLIENT,1,特例,专家
485,1726,2115,ODUk,OTN_CLIENT,1,特例,专家
486,1726,1716,ODUk,OTN_CLIENT,1,特例,专家
487,1727,2115,ODUk,OTN_CLIENT,1,特例,专家
488,1727,1716,ODUk,OTN_CLIENT,1,特例,专家
489,1756,2115,ODUk,OTN_CLIENT,1,特例,专家
490,1756,1716,ODUk,OTN_CLIENT,1,特例,专家
491,1757,2115,ODUk,OTN_CLIENT,1,特例,专家
492,1757,1716,ODUk,OTN_CLIENT,1,特例,专家
493,1787,1716,ODUk,OTN_CLIENT,1,特例,专家
494,1921,1339,OTN_CLIENT,OTN_CLIENT,1,特例,专家
495,1921,60085,OTN_CLIENT,OTN_CLIENT,1,特例,专家
496,1921,2114,OTN_CLIENT,OTN_CLIENT,1,特例,专家
497,1921,2079,OTN_CLIENT,OTN_CLIENT,1,特例,专家
498,1921,1787,OTN_CLIENT,OTN_CLIENT,1,特例,专家
499,1921,2115,OTN_CLIENT,OTN_CLIENT,1,特例,专家
500,2034,2115,ODUk,OTN_CLIENT,1,特例,专家
